surface_text,book,chapter,verse,clause_atom,predicate,reference,participant,actor,slots,func,compound,otype
sfx:W,Leviticus,17,14,528218,....,sfx,3sm=BFR,BFR,63328,#NAVN?,208,63328
B-NPCW,Leviticus,17,14,528219,....,B NPC+312,...,DM BFR,63329 63330,PrCompl,209 210,943357
sfx:W,Leviticus,17,14,528219,....,sfx,3sm=BFR,BFR,63330,#NAVN?,210,63330
HW>,Leviticus,17,14,528219,....,HW>,3sm=BFR,DM BFR,63331,Subj,211,943358
>MR,Leviticus,17,14,528220,>MR,>MR,1sc=,JHWH,63333,VbPred,212,943360
L-BNJ JFR>L,Leviticus,17,14,528220,>MR,L BN JFR>L,0pm=BN JFR>L,BN JFR>L,63334 63335 63336,Compl1,213 214,943361
JFR>L,Leviticus,17,14,528220,>MR,JFR>L,JFR>L,JFR>L,63336,#NAVN?,214,1317345
DM KL BFR,Leviticus,17,14,528221,>KL,DM KL BFR,0sm=DM BFR,DM BFR,63337 63338 63339,Obj1,215 216,943362
BFR,Leviticus,17,14,528221,>KL,BFR,3sm=BFR,BFR,63339,#NAVN?,216,1317348
T>KLW,Leviticus,17,14,528221,>KL,>KL,2pm=,BN JFR>L,63341,VbPred,217,943364
NPC KL BFR,Leviticus,17,14,528222,....,NPC KL BFR,3sf=NPC BFR,DM BFR,63343 63344 63345,572,218 219,943366
BFR,Leviticus,17,14,528222,....,BFR,3sm=BFR,BFR,63345,#NAVN?,219,1317352
DMW,Leviticus,17,14,528223,....,DM+312,0sm=DM BFR,DM BFR,63346,PrCompl,220 221,943367
sfx:W,Leviticus,17,14,528223,....,sfx,3sm=BFR,BFR,63346,#NAVN?,221,63346
HW>,Leviticus,17,14,528223,....,HJ>,3sf=NPC BFR,DM BFR,63347,Subj,222,943368
KL,Leviticus,17,14,528224,....,KL,3sm=,"3sm""HE""",63348,Subj,223,943369
>KLJW,Leviticus,17,14,528225,....,>KL,3sm=,"3sm""HE""",63349,534,224 225,943370
sfx:W,Leviticus,17,14,528225,....,sfx,3sm=BFR,DM BFR,63349,Obj1,225,63349
JKRT,Leviticus,17,14,528226,KRT,KRT,3sm=,"3sm""HE""",63350,VbPred,226,943371
NPC,Leviticus,17,15,528227,....,NPC,3sf=NPC,NPC,63353,572,227,1317355
T>KL,Leviticus,17,15,528228,>KL,>KL,3sf=NPC,NPC,63355,VbPred,228,943375
