surface_text,book,chapter,verse,clause_atom,predicate,reference,participant,actor,slots,func,compound,otype
sfx:W,Leviticus,25,36,529144,LQX,sfx,3sm=GR TWCB,">X ""YOUSgmas""",67817,Compl1,3258,67817
NCK W-TRBJT,Leviticus,25,36,529144,LQX,NCK W TRBJT,...,...,67818 67819 67820,Obj1,3259 3260 3261,...
NCK,Leviticus,25,36,529144,LQX,NCK,0sm=NCK,NCK,67818,#NAVN?,3260,1318584
TRBJT,Leviticus,25,36,529144,LQX,TRBJT,...,...,67820,#NAVN?,3261,...
JR>T,Leviticus,25,36,529145,JR>,JR>,2sm=,"""YOUSgmas""",67822,VbPred,3262,946156
M->LHJK,Leviticus,25,36,529145,JR>,MN >LHJM+212,"0pm=>LHJM+2sm""YOUSgmas""",">LHJM ""YOUSgmas""",67823 67824,Compl1,3263 3264,946157
sfx:K,Leviticus,25,36,529145,JR>,sfx,2sm=,"""YOUSgmas""",67824,#NAVN?,3264,67824
XJ,Leviticus,25,36,529146,XJH,XJH,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67826,VbPred,3265,946159
>XJK,Leviticus,25,36,529146,XJH,>X+212,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67827,Subj,3266 3267,946160
sfx:K,Leviticus,25,36,529146,XJH,sfx,2sm=,"""YOUSgmas""",67827,#NAVN?,3267,67827
sfx:K,Leviticus,25,36,529146,XJH,sfx,2sm=,"""YOUSgmas""",67828,Compl1,3268,67828
>T KSPK,Leviticus,25,37,529147,NTN,>T KSP+212,...,...,67829 67830,Obj1,3269 3270,...
sfx:K,Leviticus,25,37,529147,NTN,sfx,2sm=,"""YOUSgmas""",67830,#NAVN?,3270,67830
TTN,Leviticus,25,37,529147,NTN,NTN,2sm=,"""YOUSgmas""",67832,VbPred,3271,946164
sfx:W,Leviticus,25,37,529147,NTN,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67833,Compl1,3272,67833
B-NCK,Leviticus,25,37,529147,NTN,B NCK,0sm=NCK,NCK,67834 67835,Adjunc,3273,946166
B-MRBJT,Leviticus,25,37,529148,NTN,B MRBJT,...,...,67837 67838,Adjunc,3274,...
TTN,Leviticus,25,37,529148,NTN,NTN,2sm=,"""YOUSgmas""",67840,VbPred,3275,946170
>KLK,Leviticus,25,37,529148,NTN,>KL+212,...,...,67841,Obj1,3276 3277,...
sfx:K,Leviticus,25,37,529148,NTN,sfx,2sm=,"""YOUSgmas""",67841,#NAVN?,3277,67841
>NJ,Leviticus,25,38,529149,....,>NJ,1sc=>NJ,JHWH,67842,Subj,3278,946172
JHWH,Leviticus,25,38,529149,....,JHWH,0sm=JHWH,JHWH,67843,PrCompl,3279,946173
>LHJKM,Leviticus,25,38,529149,....,>LHJM+232,0pm=>LHJM+>TM,JHWH,67844,#NAVN?,3280 3281,946174
sfx:KM,Leviticus,25,38,529149,....,sfx,2pm=>TM,BN JFR>L,67844,#NAVN?,3281,67844
HWY>TJ,Leviticus,25,38,529150,JY>,JY>,1sc=>NJ,JHWH,67846,VbPred,3282,946176
sfx:KM,Leviticus,25,38,529150,JY>,sfx,2pm=>TM,BN JFR>L,67847,Obj1,3283,67847
M->RY MYRJM,Leviticus,25,38,529150,JY>,MN >RY MYRJM,>RY MYRJM,>RY MYRJM,67848 67849 67850,Compl1,3284 3285,946178
MYRJM,Leviticus,25,38,529150,JY>,MYRJM,MYRJM,MYRJM,67850,#NAVN?,3285,1318587
L-TT,Leviticus,25,38,529151,NTN,L NTN,1sc=>NJ,JHWH,67851 67852,VbPred,3286,946179
sfx:KM,Leviticus,25,38,529151,NTN,sfx,2pm=>TM,BN JFR>L,67853,Compl1,3287,67853
>T >RY KN<N,Leviticus,25,38,529151,NTN,>T >RY KN<N,...,...,67854 67855 67856,Obj1,3288 3289,...
KN<N,Leviticus,25,38,529151,NTN,KN<N,...,...,67856,#NAVN?,3289,...
L-HJWT,Leviticus,25,38,529152,HJH,L HJH,1sc=>NJ,JHWH,67857 67858,VbPred,3290,946182
sfx:KM,Leviticus,25,38,529152,HJH,sfx,2pm=>TM,BN JFR>L,67859,Compl1,3291,67859
L->LHJM,Leviticus,25,38,529152,HJH,L >LHJM,...,JHWH,67860 67861,PrCompl,3292,946184
JMWK,Leviticus,25,39,529153,MWK,MWK,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67864,VbPred,3293,946187
>XJK,Leviticus,25,39,529153,MWK,>X+212,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67865,Subj,3294 3295,946188
sfx:K,Leviticus,25,39,529153,MWK,sfx,2sm=,"""YOUSgmas""",67865,#NAVN?,3295,67865
sfx:K,Leviticus,25,39,529153,MWK,sfx,2sm=,"""YOUSgmas""",67866,Compl1,3296,67866
NMKR,Leviticus,25,39,529154,MKR,MKR,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67868,VbPred,3297,946191
sfx:K,Leviticus,25,39,529154,MKR,sfx,2sm=,"""YOUSgmas""",67869,Compl1,3298,67869
T<BD,Leviticus,25,39,529155,<BD,<BD,2sm=,"""YOUSgmas""",67871,VbPred,3299,946194
sfx:W,Leviticus,25,39,529155,<BD,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67872,Compl1,3300,67872
<BDT <BD,Leviticus,25,39,529155,<BD,<BDH <BD,2sm=,...,67873 67874,Obj1,3301 3302,...
<BD,Leviticus,25,39,529155,<BD,<BD,0sm=<BD,<BD,67874,#NAVN?,3302,1318591
K-FKJR,Leviticus,25,40,529156,HJH,K FKJR,0sm=FKJR,">X ""YOUSgmas""",67875 67876,PrCompl,3303,946197
K-TWCB,Leviticus,25,40,529156,HJH,K TWCB,0sm=TWCB,">X ""YOUSgmas""",67877 67878,#NAVN?,3304,946198
JHJH,Leviticus,25,40,529156,HJH,HJH,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67879,VbPred,3305,946199
sfx:K,Leviticus,25,40,529156,HJH,sfx,2sm=,"""YOUSgmas""",67880,Compl1,3306,67880
<D CNT H-JBL,Leviticus,25,40,529157,<BD,<D CNH H JWBL,0sf=CNH JWBL,CNH JWBL,67881 67882 67883 67884,Time,3307 3308,946201
H-JBL,Leviticus,25,40,529157,<BD,H JWBL,3sf=JWBL,JWBL,67883 67884,#NAVN?,3308,1318593
J<BD,Leviticus,25,40,529157,<BD,<BD,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67885,VbPred,3309,946202
sfx:K,Leviticus,25,40,529157,<BD,sfx,2sm=,"""YOUSgmas""",67886,Compl1,3310,67886
JY>,Leviticus,25,41,529158,JY>,JY>,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67888,VbPred,3311,946205
sfx:K,Leviticus,25,41,529158,JY>,sfx,2sm=,"""YOUSgmas""",67890,Compl1,3312,67890
HW> W-BNJW,Leviticus,25,41,529158,JY>,HW> W BN+S,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas"" BN >X ""YOUSgmas""",67891 67892 67893,Subj,3313 3314 3315 3316,946207
HW>,Leviticus,25,41,529158,JY>,HW>,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67891,#NAVN?,3314,1318594
BNJW,Leviticus,25,41,529158,JY>,BN+312,0pm=BN+HW>,"BN >X ""YOUSgmas""",67893,#NAVN?,3315 3316,1318595
sfx:W,Leviticus,25,41,529158,JY>,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67893,#NAVN?,3316,67893
sfx:W,Leviticus,25,41,529158,JY>,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67894,#NAVN?,3317,67894
CB,Leviticus,25,41,529159,CWB,CWB,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67896,VbPred,3318,946210
>L MCPXTW,Leviticus,25,41,529159,CWB,>L MCPXT+312,"0sf=MCPXT+>X+2sm""YOUSgmas""","MCPXT >X ""YOUSgmas""",67897 67898,Compl1,3319 3320,946211
sfx:W,Leviticus,25,41,529159,CWB,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67898,#NAVN?,3320,67898
>L >XZT >BTJW,Leviticus,25,41,529160,CWB,>L >XZH >B+S,...,...,67900 67901 67902,Compl1,3321 3322 3323,...
>BTJW,Leviticus,25,41,529160,CWB,>B+312,...,">B >X ""YOUSgmas""",67902,#NAVN?,3322 3323,1318597
sfx:W,Leviticus,25,41,529160,CWB,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67902,#NAVN?,3323,67902
JCWB,Leviticus,25,41,529160,CWB,CWB,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67903,VbPred,3324,946214
<BDJ,Leviticus,25,42,529161,....,<BD+110,3pm=<BD+>NJ,<BD JHWH,67905,PrCompl,3325 3326,946216
sfx:J,Leviticus,25,42,529161,....,sfx,1sc=>NJ,JHWH,67905,#NAVN?,3326,67905
HM,Leviticus,25,42,529161,....,HM,3pm=<BD+>NJ,<BD JHWH,67906,Subj,3327,946217
HWY>TJ,Leviticus,25,42,529162,JY>,JY>,1sc=>NJ,JHWH,67908,VbPred,3328,946219
sfx:M,Leviticus,25,42,529162,JY>,sfx,3pm=<BD+>NJ,<BD JHWH,67909,Obj1,3329,67909
M->RY MYRJM,Leviticus,25,42,529162,JY>,MN >RY MYRJM,>RY MYRJM,>RY MYRJM,67910 67911 67912,Compl1,3330 3331,946221
MYRJM,Leviticus,25,42,529162,JY>,MYRJM,MYRJM,MYRJM,67912,#NAVN?,3331,1318599
JMKRW,Leviticus,25,42,529163,MKR,MKR,3pm=<BD+>NJ,<BD JHWH,67914,VbPred,3332,946223
MMKRT <BD,Leviticus,25,42,529163,MKR,MMKRT <BD,...,...,67915 67916,Adjunc,3333 3334,...
<BD,Leviticus,25,42,529163,MKR,<BD,0sm=<BD,<BD,67916,#NAVN?,3334,1318601
TRDH,Leviticus,25,43,529164,RDH,RDH,2sm=,"""YOUSgmas""",67918,VbPred,3335,946226
sfx:W,Leviticus,25,43,529164,RDH,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",67919,Compl1,3336,67919
B-PRK,Leviticus,25,43,529164,RDH,B PRK,0sm=PRK,PRK,67920 67921,Adjunc,3337,946228
JR>T,Leviticus,25,43,529165,JR>,JR>,2sm=,"""YOUSgmas""",67923,VbPred,3338,946230
M->LHJK,Leviticus,25,43,529165,JR>,MN >LHJM+212,"0pm=>LHJM+2sm""YOUSgmas""",">LHJM ""YOUSgmas""",67924 67925,Compl1,3339 3340,946231
sfx:K,Leviticus,25,43,529165,JR>,sfx,2sm=,"""YOUSgmas""",67925,#NAVN?,3340,67925
<BDK W->MTK,Leviticus,25,44,529166,....,<BD+S W >MH+S,"3pm=<BD+S >MH+2sm""YOUSgmas""","<BD ""YOUSgmas"" >MH ""YOUSgmas""",67927 67928 67929,572,3341 3342 3343 3344 3345,946233
<BDK,Leviticus,25,44,529166,....,<BD+212,"0sm=<BD+2sm""YOUSgmas""","<BD ""YOUSgmas""",67927,#NAVN?,3342 3343,1318602
sfx:K,Leviticus,25,44,529166,....,sfx,2sm=,"""YOUSgmas""",67927,#NAVN?,3343,67927
>MTK,Leviticus,25,44,529166,....,>MH+212,"0sf=>MH+2sm""YOUSgmas""",">MH ""YOUSgmas""",67929,#NAVN?,3344 3345,1318603
sfx:K,Leviticus,25,44,529166,....,sfx,2sm=,"""YOUSgmas""",67929,#NAVN?,3345,67929
JHJW,Leviticus,25,44,529167,HJH,HJH,"3pm=<BD+S >MH+2sm""YOUSgmas""","<BD ""YOUSgmas"" >MH ""YOUSgmas""",67931,VbPred,3346,946235
sfx:K,Leviticus,25,44,529167,HJH,sfx,2sm=,"""YOUSgmas""",67932,PrCompl,3347,67932
M->T H-GWJM,Leviticus,25,44,529168,....,MN >T H GWJ,3pm=GWJ,GWJ,67933 67934 67935 67936,572,3348,946237
SBJBTJKM,Leviticus,25,44,529169,....,SBJB+232,...,GWJ,67938,PrCompl,3349 3350,946239
sfx:KM,Leviticus,25,44,529169,....,sfx,2pm=>TM,BN JFR>L,67938,#NAVN?,3350,67938
sfx:HM,Leviticus,25,44,529170,QNH,sfx,3pm=GWJ,GWJ,67939,#NAVN?,3351,67939
TQNW,Leviticus,25,44,529170,QNH,QNH,2pm=>TM,BN JFR>L,67940,VbPred,3352,946241
<BD W->MH,Leviticus,25,44,529170,QNH,<BD W >MH,"3pm=<BD+S >MH+2sm""YOUSgmas""","<BD ""YOUSgmas"" >MH ""YOUSgmas""",67941 67942 67943,Obj1,3353 3354 3355,946242
<BD,Leviticus,25,44,529170,QNH,<BD,0sm=<BD,<BD,67941,#NAVN?,3354,1318604
>MH,Leviticus,25,44,529170,QNH,>MH,...,...,67943,#NAVN?,3355,...
GM M-BNJ H-TWCBJM,Leviticus,25,45,529171,....,GM MN BN H TWCB,...,...,67945 67946 67947 67948 67949,572,3356 3357 3358,...
BNJ H-TWCBJM,Leviticus,25,45,529171,....,BN H TWCB,3pm=GWR,BN TWCB,67947 67948 67949,#NAVN?,3357 3358,946244
H-TWCBJM,Leviticus,25,45,529171,....,H TWCB,...,TWCB,67948 67949,#NAVN?,3358,1318608
GRJM,Leviticus,25,45,529172,....,GWR,3pm=GWR,BN TWCB,67951,PrCompl,3359,946246
sfx:KM,Leviticus,25,45,529172,....,sfx,2pm=>TM,BN JFR>L,67952,Compl1,3360,67952
sfx:HM,Leviticus,25,45,529173,QNH,sfx,3pm=GWR,BN TWCB,67953,#NAVN?,3361,67953
TQNW,Leviticus,25,45,529173,QNH,QNH,2pm=>TM,BN JFR>L,67954,VbPred,3362,946249
M-MCPXTM,Leviticus,25,45,529174,....,MN MCPXT+332,...,...,67956 67957,Compl1,3363 3364,...
sfx:M,Leviticus,25,45,529174,....,sfx,3pm=GWR,BN TWCB,67957,#NAVN?,3364,67957
sfx:KM,Leviticus,25,45,529175,....,sfx,2pm=>TM,BN JFR>L,67959,#NAVN?,3365,67959
HWLJDW,Leviticus,25,45,529176,JLD,JLD,3pm=GWR,BN TWCB,67961,VbPred,3366,946255
B->RYKM,Leviticus,25,45,529176,JLD,B >RY+232,0sm=CWPR,>RY,67962 67963,Locat,3367 3368,946256
sfx:KM,Leviticus,25,45,529176,JLD,sfx,2pm=>TM,BN JFR>L,67963,#NAVN?,3368,67963
HJW,Leviticus,25,45,529177,HJH,HJH,3pm=GWR,BN TWCB,67965,VbPred,3369,946258
sfx:KM,Leviticus,25,45,529177,HJH,sfx,2pm=>TM,BN JFR>L,67966,Compl1,3370,67966
L->XZH,Leviticus,25,45,529177,HJH,L >XZH,0sf=>XZH,BN TWCB,67967 67968,PrCompl,3371,946260
HTNXLTM,Leviticus,25,46,529178,NXL,NXL,2pm=>TM,BN JFR>L,67970,VbPred,3372,946262
sfx:M,Leviticus,25,46,529178,NXL,sfx,"3pm=<BD+S >MH+2sm""YOUSgmas""",BN TWCB,67971,Obj1,3373,67971
L-BNJKM,Leviticus,25,46,529178,NXL,L BN+232,0pm=BN+>TM,BN BN JFR>L,67972 67973,Compl1,3374 3375,946264
sfx:KM,Leviticus,25,46,529178,NXL,sfx,2pm=>TM,BN JFR>L,67973,#NAVN?,3375,67973
sfx:KM,Leviticus,25,46,529178,NXL,sfx,2pm=>TM,BN JFR>L,67974,#NAVN?,3376,67974
L-RCT,Leviticus,25,46,529179,JRC,L JRC,0pm=BN+>TM,BN BN JFR>L,67975 67976,VbPred,3377,946266
>XZH,Leviticus,25,46,529179,JRC,>XZH,0sf=>XZH,>XZH,67977,Obj1,3378,946267
L-<LM,Leviticus,25,46,529179,JRC,L <WLM,...,...,67978 67979,Time,3379,...
sfx:HM,Leviticus,25,46,529180,<BD,sfx,"3pm=<BD+S >MH+2sm""YOUSgmas""",BN TWCB,67980,#NAVN?,3380,67980
T<BDW,Leviticus,25,46,529180,<BD,<BD,2pm=>TM,BN JFR>L,67981,VbPred,3381,946270
B->XJKM,Leviticus,25,46,529181,....,B >X+232,...,...,67983 67984,572,3382 3383,...
sfx:KM,Leviticus,25,46,529181,....,sfx,2pm=>TM,BN JFR>L,67984,#NAVN?,3383,67984
BNJ JFR>L,Leviticus,25,46,529181,....,BN JFR>L,0pm=BN JFR>L,BN JFR>L,67985 67986,#NAVN?,3384 3385,946273
JFR>L,Leviticus,25,46,529181,....,JFR>L,JFR>L,JFR>L,67986,#NAVN?,3385,1318611
>JC,Leviticus,25,46,529181,....,>JC,2sm=,BN JFR>L,67987,Adjunc,3386,946274
B->XJW,Leviticus,25,46,529181,....,B >X+312,"3sm=>X+3sm""HE""",>X BN JFR>L,67988 67989,#NAVN?,3387 3388,946275
sfx:W,Leviticus,25,46,529181,....,sfx,3sm=,BN JFR>L,67989,#NAVN?,3388,67989
TRDH,Leviticus,25,46,529182,RDH,RDH,2sm=,"""YOUSgmas""",67991,VbPred,3389,946277
sfx:W,Leviticus,25,46,529182,RDH,sfx,"3sm=>X+3sm""HE""",>X BN JFR>L,67992,Compl1,3390,67992
B-PRK,Leviticus,25,46,529182,RDH,B PRK,0sm=PRK,PRK,67993 67994,Adjunc,3391,946279
TFJG,Leviticus,25,47,529183,NFG,NFG,"3sf=JD+>X+2sm""YOUSgmas""",JD GR TWCB,67997,VbPred,3392,946282
JD GR W-TWCB,Leviticus,25,47,529183,NFG,JD GR W TWCB,"3sf=JD+>X+2sm""YOUSgmas""",JD GR TWCB,67998 67999 68000 68001,Subj,3393 3394 3395 3396,946283
GR W-TWCB,Leviticus,25,47,529183,NFG,GR W TWCB,3sm=GR TWCB,GR TWCB,67999 68000 68001,#NAVN?,3394 3395 3396,1318615
GR,Leviticus,25,47,529183,NFG,GR,0sm=GR,GR,67999,#NAVN?,3395,1318613
TWCB,Leviticus,25,47,529183,NFG,TWCB,0sm=TWCB,TWCB,68001,#NAVN?,3396,1318614
sfx:K,Leviticus,25,47,529183,NFG,sfx,2sm=,"""YOUSgmas""",68002,#NAVN?,3397,68002
MK,Leviticus,25,47,529184,MWK,MWK,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68004,VbPred,3398,946286
>XJK,Leviticus,25,47,529184,MWK,>X+212,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68005,Subj,3399 3400,946287
sfx:K,Leviticus,25,47,529184,MWK,sfx,2sm=,"""YOUSgmas""",68005,#NAVN?,3400,68005
sfx:W,Leviticus,25,47,529184,MWK,sfx,3sm=GR TWCB,GR TWCB,68006,Compl1,3401,68006
NMKR,Leviticus,25,47,529185,MKR,MKR,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68008,VbPred,3402,946290
L-GR,Leviticus,25,47,529185,MKR,L GR,0sm=GR,GR TWCB,68009 68010,Compl1,3403,946291
TWCB,Leviticus,25,47,529185,MKR,TWCB,0sm=TWCB,TWCB,68011,#NAVN?,3404,946292
sfx:K,Leviticus,25,47,529185,MKR,sfx,2sm=,"""YOUSgmas""",68012,#NAVN?,3405,68012
L-<QR MCPXT GR,Leviticus,25,47,529185,MKR,L <QR MCPXT GR,...,...,68014 68015 68016 68017,566,3406 3407 3408,...
MCPXT GR,Leviticus,25,47,529185,MKR,MCPXT GR,...,...,68016 68017,#NAVN?,3407 3408,...
GR,Leviticus,25,47,529185,MKR,GR,0sm=GR,GR,68017,#NAVN?,3408,1318618
NMKR,Leviticus,25,48,529186,MKR,MKR,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68019,VbPred,3409,946297
G>LH,Leviticus,25,48,529187,HJH,G>LH,3sf=G>LH,G>LH,68020,Subj,3410,946298
THJH,Leviticus,25,48,529187,HJH,HJH,3sf=G>LH,G>LH,68021,VbPred,3411,946299
sfx:W,Leviticus,25,48,529187,HJH,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68022,PrCompl,3412,68022
>XD,Leviticus,25,48,529188,G>L,>XD,3sm=>XD,>XD,68023,Subj,3413,946301
M->XJW,Leviticus,25,48,529188,G>L,MN >X+312,...,>XD,68024 68025,#NAVN?,3414 3415,946302
sfx:W,Leviticus,25,48,529188,G>L,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68025,#NAVN?,3415,68025
JG>LNW,Leviticus,25,48,529188,G>L,G>L,3sm=>XD,>XD,68026,VbPred,3416 3417,946303
sfx:NW,Leviticus,25,48,529188,G>L,sfx,"3sm=>X+2sm""YOUSgmas""",>X BN JFR>L,68026,Obj1,3417,68026
DDW >W BN DDW,Leviticus,25,49,529189,G>L,DWD+S >W BN DWD+S,3sm=>XD,"DWD >X ""YOUSgmas"" BN DWD >X ""YOUSgmas""",68028 68029 68030 68031,Subj,3418 3419 3420 3421 3422 3423,946305
DDW,Leviticus,25,49,529189,G>L,DWD+312,"0sm=DWD+>X+2sm""YOUSgmas""","DWD >X ""YOUSgmas""",68028,#NAVN?,3419 3420,1318620
sfx:W,Leviticus,25,49,529189,G>L,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68028,#NAVN?,3420,68028
BN DDW,Leviticus,25,49,529189,G>L,BN DWD+S,...,...,68030 68031,#NAVN?,3421 3422 3423,...
DDW,Leviticus,25,49,529189,G>L,DWD+312,"0sm=DWD+>X+2sm""YOUSgmas""","DWD >X ""YOUSgmas""",68031,#NAVN?,3422 3423,1318622
sfx:W,Leviticus,25,49,529189,G>L,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68031,#NAVN?,3423,68031
JG>LNW,Leviticus,25,49,529189,G>L,G>L,3sm=>XD,"DWD >X ""YOUSgmas"" BN DWD >X ""YOUSgmas""",68032,VbPred,3424 3425,946306
sfx:NW,Leviticus,25,49,529189,G>L,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68032,Obj1,3425,68032
M-C>R BFRW,Leviticus,25,49,529190,G>L,MN C>R BFR+S,...,...,68034 68035 68036,Adjunc,3426 3427 3428,...
BFRW,Leviticus,25,49,529190,G>L,BFR+312,...,...,68036,#NAVN?,3427 3428,...
sfx:W,Leviticus,25,49,529190,G>L,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68036,#NAVN?,3428,68036
M-MCPXTW,Leviticus,25,49,529190,G>L,MN MCPXT+312,...,...,68037 68038,#NAVN?,3429 3430,...
sfx:W,Leviticus,25,49,529190,G>L,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68038,#NAVN?,3430,68038
JG>LNW,Leviticus,25,49,529190,G>L,G>L,3sm=>XD,>XD,68039,VbPred,3431 3432,946310
sfx:NW,Leviticus,25,49,529190,G>L,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68039,Obj1,3432,68039
HFJGH,Leviticus,25,49,529191,NFG,NFG,"3sf=JD+>X+2sm""YOUSgmas""","JD >X ""YOUSgmas""",68041,VbPred,3433,946312
JDW,Leviticus,25,49,529191,NFG,JD+312,"3sf=JD+>X+2sm""YOUSgmas""","JD >X ""YOUSgmas""",68042,Subj,3434 3435,946313
sfx:W,Leviticus,25,49,529191,NFG,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68042,#NAVN?,3435,68042
NG>L,Leviticus,25,49,529192,G>L,G>L,3sm=>XD,">X ""YOUSgmas""",68044,VbPred,3436,946315
XCB,Leviticus,25,50,529193,XCB,XCB,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68046,VbPred,3437,946317
<M QNHW,Leviticus,25,50,529193,XCB,<M QNH+312,"3sm=QNH+>X+2sm""YOUSgmas""","QNH >X ""YOUSgmas""",68047 68048,Compl1,3438 3439,946318
sfx:W,Leviticus,25,50,529193,XCB,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68048,#NAVN?,3439,68048
M-CNT HMKRW,Leviticus,25,50,529194,MN CNH,MN CNH MKR,0sf=CNH MKR,CNH MKR,68049 68050 68051,VbPred,3440 3441 3442,946319
HMKRW,Leviticus,25,50,529194,MN CNH,MKR,3sm=>JC,...,68051,#NAVN?,3441 3442,...
sfx:W,Leviticus,25,50,529194,MN CNH,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68051,#NAVN?,3442,68051
sfx:W,Leviticus,25,50,529194,MN CNH,sfx,"3sm=QNH+>X+2sm""YOUSgmas""","QNH >X ""YOUSgmas""",68052,Compl1,3443,68052
<D CNT H-JBL,Leviticus,25,50,529195,....,<D CNH H JWBL,0sf=CNH JWBL,CNH JWBL,68053 68054 68055 68056,Time,3444 3445,946321
H-JBL,Leviticus,25,50,529195,....,H JWBL,3sf=JWBL,JWBL,68055 68056,#NAVN?,3445,1318629
HJH,Leviticus,25,50,529196,HJH,HJH,"3sm=KSP MMKR+>X+2sm""YOUSgmas""","KSP MMKR >X""YOUSgmas""",68058,VbPred,3446,946323
KSP MMKRW,Leviticus,25,50,529196,HJH,KSP MMKR+S,"3sm=KSP MMKR+>X+2sm""YOUSgmas""","KSP MMKR >X""YOUSgmas""",68059 68060,Subj,3447 3448 3449,946324
MMKRW,Leviticus,25,50,529196,HJH,MMKR+312,...,...,68060,#NAVN?,3448 3449,...
sfx:W,Leviticus,25,50,529196,HJH,sfx,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68060,#NAVN?,3449,68060
B-MSPR CNJM,Leviticus,25,50,529196,HJH,B MSPR CNH,0sm=MSPR CNH,"KSP MMKR >X""YOUSgmas""",68061 68062 68063,PrCompl,3450 3451,946325
CNJM,Leviticus,25,50,529196,HJH,CNH,0pf=CNH,CNH,68063,#NAVN?,3451,1318633
K-JMJ FKJR,Leviticus,25,50,529197,HJH,K JWM FKJR,...,">X ""YOUSgmas""",68064 68065 68066,PrCompl,3452 3453,946326
FKJR,Leviticus,25,50,529197,HJH,FKJR,0sm=FKJR,FKJR,68066,#NAVN?,3453,1318635
JHJH,Leviticus,25,50,529197,HJH,HJH,"3sm=>X+2sm""YOUSgmas""",">X ""YOUSgmas""",68067,VbPred,3454,946327
sfx:W,Leviticus,25,50,529197,HJH,sfx,3sf=TBW>H+FDH,"QNH >X ""YOUSgmas""",68068,Compl1,3455,68068
RBWT,Leviticus,25,51,529198,....,RB,...,...,68071,PrCompl,3456,...
B--CNJM,Leviticus,25,51,529198,....,B H CNH,3pf=CNH,CNH,68072 68073 68074,#NAVN?,3457,946332
L-PJHN,Leviticus,25,51,529199,CWB,L PH+331,...,...,68075 68076,Adjunc,3458 3459,...
sfx:N,Leviticus,25,51,529199,CWB,sfx,3pf=CNH,CNH,68076,#NAVN?,3459,68076
JCJB,Leviticus,25,51,529199,CWB,CWB,3sm=,">X ""YOUSgmas""",68077,VbPred,3460,946334
G>LTW,Leviticus,25,51,529199,CWB,G>LH+312,"0sf=G>LH+>X+2sm""YOUSgmas""","G>LH >X ""YOUSgmas""",68078,Obj1,3461 3462,946335
sfx:W,Leviticus,25,51,529199,CWB,sfx,3sm=,">X ""YOUSgmas""",68078,#NAVN?,3462,68078
M-KSP MQNTW,Leviticus,25,51,529199,CWB,MN KSP MQNH+S,...,...,68079 68080 68081,Compl1,3463 3464 3465,...
MQNTW,Leviticus,25,51,529199,CWB,MQNH+312,...,...,68081,#NAVN?,3464 3465,...
sfx:W,Leviticus,25,51,529199,CWB,sfx,3sm=,">X ""YOUSgmas""",68081,#NAVN?,3465,68081
M<V,Leviticus,25,52,529200,C>R,M<V,3sm=M<V,M<V,68084,Subj,3466,946339
NC>R,Leviticus,25,52,529200,C>R,C>R,3sm=M<V,M<V,68085,VbPred,3467,946340
